category,source,image_id,image_path,prompt,ground_truth
spatial_relation,visual_genome,2410580,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2410580.jpg,Where is the blue paint relative to the wing? Answer with a short relation.,on
spatial_relation,visual_genome,2331758,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2331758.jpg,Where is the light relative to the ceiling? Answer with a short relation.,on
spatial_relation,visual_genome,2341363,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2341363.jpg,Where is the mouse relative to the table? Answer with a short relation.,on
ocr,textocr_openimages,a45a08ab8b0812a1,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/a45a08ab8b0812a1.jpg,What single word is clearly visible in this image? Answer with the exact word.,LG
ocr,textocr_openimages,f34b8601eb875a8d,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/f34b8601eb875a8d.jpg,What single word is clearly visible in this image? Answer with the exact word.,LM
ocr,textocr_openimages,6266e654a5222268,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/6266e654a5222268.jpg,What single word is clearly visible in this image? Answer with the exact word.,STOP
ocr,textocr_openimages,a8eb76a80a86f46f,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/a8eb76a80a86f46f.jpg,What single word is clearly visible in this image? Answer with the exact word.,GEORGIA
ocr,textocr_openimages,00e69701a85ee1a3,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/00e69701a85ee1a3.jpg,What single word is clearly visible in this image? Answer with the exact word.,Information
ocr,textocr_openimages,c593f4b0b290254e,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/c593f4b0b290254e.jpg,What single word is clearly visible in this image? Answer with the exact word.,TE
ocr,textocr_openimages,6729ebc67bc1aadd,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/6729ebc67bc1aadd.jpg,What single word is clearly visible in this image? Answer with the exact word.,EIIB
ocr,textocr_openimages,25ee771fe04b07f3,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/25ee771fe04b07f3.jpg,What single word is clearly visible in this image? Answer with the exact word.,BW7680
ocr,textocr_openimages,1a8746200ed47472,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/1a8746200ed47472.jpg,What single word is clearly visible in this image? Answer with the exact word.,Jack
ocr,textocr_openimages,b50496a372ba924c,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/b50496a372ba924c.jpg,What single word is clearly visible in this image? Answer with the exact word.,PRE
ocr,textocr_openimages,92e3de591083a4b3,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/92e3de591083a4b3.jpg,What single word is clearly visible in this image? Answer with the exact word.,PHILIPS
ocr,textocr_openimages,61b7cfda8873dc5d,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/61b7cfda8873dc5d.jpg,What single word is clearly visible in this image? Answer with the exact word.,67
ocr,textocr_openimages,00a40156a2843195,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/00a40156a2843195.jpg,What single word is clearly visible in this image? Answer with the exact word.,Peace
ocr,textocr_openimages,173ec59258b40567,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/173ec59258b40567.jpg,What single word is clearly visible in this image? Answer with the exact word.,cmd
ocr,textocr_openimages,17c0115aebed9d5d,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/17c0115aebed9d5d.jpg,What single word is clearly visible in this image? Answer with the exact word.,F6
ocr,textocr_openimages,7efbadd615402036,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/7efbadd615402036.jpg,What single word is clearly visible in this image? Answer with the exact word.,WMHS
ocr,textocr_openimages,26b61c42bfb9d9bc,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/26b61c42bfb9d9bc.jpg,What single word is clearly visible in this image? Answer with the exact word.,DAYTONA
ocr,textocr_openimages,9137817ca747e7ae,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/9137817ca747e7ae.jpg,What single word is clearly visible in this image? Answer with the exact word.,cyanogen
ocr,textocr_openimages,55120ce9bd18b5d9,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/55120ce9bd18b5d9.jpg,What single word is clearly visible in this image? Answer with the exact word.,34
ocr,textocr_openimages,ba66c4ff9cb972d8,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/ocr/ba66c4ff9cb972d8.jpg,What single word is clearly visible in this image? Answer with the exact word.,juicery
colors_attributes,self,attribute1,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute1.jpg,Describe the weather in this image in one word. Answer with the exact word.,cloudy
colors_attributes,self,attribute2,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute2.jpg,The barrell is decorated yes or no. Answer with a one word confirmation.,yes
colors_attributes,self,attribute3,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute3.jpg,Does the bike have a rider? Answer with a one word confirmation.,no
colors_attributes,self,attribute4,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute4.jpg,Is the shelf full? Answer with a one word confirmation.,yes
colors_attributes,self,attribute5,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute5.jpg,Did the player win the Wordle game? Answer with a one word confirmation.,yes
colors_attributes,self,attribute6,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute6.jpg,What animal is present in the image? Answer with only the animal name.,rabbit
colors_attributes,self,attribute7,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute7.jpg,What meal is most likely being eaten? Answer with just the name of the meal.,breakfast
colors_attributes,self,attribute8,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute8.jpg,What type of sushi has less pieces in the image? Tempura or Tuna? Answer with just the name of the sushi.,tuna
colors_attributes,self,attribute9,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute9.jpg,The numbers in the top left of the image are in binary. Answer with a one word confirmation.,yes
colors_attributes,self,attribute10,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/attribute10.jpg,What social media platform is present? Answer with only the name of the platform.,instagram
colors_attributes,self,color1,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color1.jpg,What color is the animal? Answer with just the basic color that is part of the ROY G BIV acronym.,green
colors_attributes,self,color2,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color2.jpg,What color are the roofs? Answer with just the basic color that is part of the ROY G BIV acronym.,blue
colors_attributes,self,color3,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color3.jpg,What color are the sunglasses? Answer with just the basic color that is part of the ROY G BIV acronym.,blue
colors_attributes,self,color4,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color4.jpg,What color is the sign? Answer with just the basic color that is part of the ROY G BIV acronym.,yellow
colors_attributes,self,color5,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color5.jpg,What is the predominant color of the mug? Answer with just the color name.,white
colors_attributes,self,color6,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color6.jpg,What is the color of the orb in the background? Answer with just the color name.,gold
colors_attributes,self,color7,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color7.jpg,What are the colors of the tags on the cows ears? Answer with just the basic color that is part of the ROY G BIV acronym.,yellow
colors_attributes,self,color8,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color8.jpg,What color is the cow on the left? Answer with just the color name.,black
colors_attributes,self,color9,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color9.jpg,What color is the cow?. Answer with just the color name.,white
colors_attributes,self,color10,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/color_attributes/color10.jpg,What colors are in the flag? Answer with only the colors in the ROY G BIV acronym separated with a single slash and no spaces. Go top to bottom.,red/blue
